stock_code,Stknme,industry,Nindnme
600051,宁波联合,H,批发和零售贸易
600052,东望时代,L10,广播电影电视业
600053,九鼎投资,I99,其他金融业
600054,黄山旅游,K01,公共设施服务业
600055,万东医疗,C73,专用设备制造业
600056,中国医药,H,批发和零售贸易
600057,厦门象屿,K99,其他社会服务业
600058,五矿发展,H,批发和零售贸易
600059,古越龙山,C05,饮料制造业
600060,海信视像,G,信息技术业
600061,国投资本,I21,证券、期货业
600062,华润双鹤,C81,医药制造业
600063,皖维高新,C47,化学纤维制造业
600064,南京高科,J,房地产业
600065,*ST 联谊,C41,石油加工及炼焦业
600066,宇通客车,C75,交通运输设备制造业
600067,冠城新材,J,房地产业
600068,葛洲坝,E01,土木工程建筑业
600069,退市银鸽,C31,造纸及纸制品业
600070,*ST 富润,G87,计算机应用服务业
600071,凤凰光学,C78,仪器仪表及文化、办公用机械制造业
600072,中船科技,E01,土木工程建筑业
600073,光明肉业,C03,食品制造业
600074,退市保千,G,信息技术业
600075,新疆天业,C43,化学原料及化学制品制造业
600076,康欣新材,C21,木材加工及竹、藤、棕、草制品业
600077,*ST 宋都,J,房地产业
600078,澄星股份,C43,化学原料及化学制品制造业
600079,人福医药,C81,医药制造业
600080,金花股份,C81,医药制造业
600081,东风科技,C75,交通运输设备制造业
600082,海泰发展,H,批发和零售贸易
600083,*ST 博信,H,批发和零售贸易
600084,中信尼雅,C05,饮料制造业
600085,同仁堂,C81,医药制造业
600086,退市金钰,C99,其他制造业
600087,退市长油,F07,水上运输业
600088,中视传媒,L10,广播电影电视业
600089,特变电工,C76,电器机械及器材制造业
600090,退市济堂,H,批发和零售贸易
600091,退市明科,C43,化学原料及化学制品制造业
600092,S*ST 精密,C67,有色金属冶炼及压延加工业
600093,退市易见,K99,其他社会服务业
600094,大名城,J,房地产业
600095,湘财股份,I21,证券、期货业
600096,云天化,C43,化学原料及化学制品制造业
600097,开创国际,A07,渔业
600098,广州发展,D01,电力、蒸汽、热水的生产和供应业
600099,林海股份,C75,交通运输设备制造业
600100,同方股份,G,信息技术业
600101,明星电力,D01,电力、蒸汽、热水的生产和供应业
600102,莱钢股份,C65,黑色金属冶炼及压延加工业
600103,青山纸业,C31,造纸及纸制品业
600104,上汽集团,C75,交通运输设备制造业
600105,永鼎股份,C76,电器机械及器材制造业
600106,重庆路桥,F03,公路运输业
600107,美尔雅,C13,服装及其他纤维制品制造业
600108,亚盛集团,A01,农业
600109,国金证券,I21,证券、期货业
600110,诺德股份,C67,有色金属冶炼及压延加工业
600111,北方稀土,C67,有色金属冶炼及压延加工业
600112,*ST 天成,C76,电器机械及器材制造业
600113,浙江东日,K99,其他社会服务业
600114,东睦股份,C69,金属制品业
600115,中国东航,F09,航空运输业
600116,三峡水利,D01,电力、蒸汽、热水的生产和供应业
600117,西宁特钢,C65,黑色金属冶炼及压延加工业
600118,中国卫星,G,信息技术业
600119,长江投资,F03,公路运输业
600120,浙江东方,I99,其他金融业
600121,郑州煤电,B01,煤炭采选业
600122,*ST 宏图,H11,零售业
600123,兰花科创,B01,煤炭采选业
600125,铁龙物流,F01,铁路运输业
600126,杭钢股份,C65,黑色金属冶炼及压延加工业
600127,金健米业,C01,食品加工业
600128,苏豪弘业,H,批发和零售贸易
600129,太极集团,C81,医药制造业
600130,波导股份,G,信息技术业
600131,国网信通,G87,计算机应用服务业
600132,重庆啤酒,C05,饮料制造业
600133,东湖高新,E01,土木工程建筑业
600135,乐凯胶片,C43,化学原料及化学制品制造业
600136,ST 明诚,L10,广播电影电视业
600137,浪莎股份,C13,服装及其他纤维制品制造业
600138,中青旅,K99,其他社会服务业
600139,*ST 西源,I01,银行业
600141,兴发集团,C43,化学原料及化学制品制造业
