Trddt,market_return
2021-05-12,0.010931710466696873
2021-05-13,-0.0029883204432383536
2021-05-14,0.0130461443112418
2021-05-17,-0.006337474909584086
2021-05-18,0.006867275339366516
2021-05-19,-0.0004091633114679936
2021-05-20,-0.0017915387736699732
2021-05-21,0.003121412891593419
2021-05-24,0.0065046207440811726
2021-05-25,0.010071043909029498
2021-05-26,0.007656756860098964
2021-05-27,0.008529821532928746
2021-05-28,-0.002523791554357592
2021-05-31,0.01252953524921419
2021-06-01,0.008700250729517396
2021-06-02,-0.0034670800627943487
2021-06-03,0.001108148363962349
2021-06-04,-0.00038409363799283164
2021-06-07,0.010083954077060933
2021-06-08,0.0008759543522040725
2021-06-09,0.003925979194630872
2021-06-10,0.005296507492730933
2021-06-11,-0.005154681188561216
2021-06-15,-0.007231940308517774
